Cassiobridge,323,90,metropolitan
Watford Vicarage Road,423,90,metropolitan
Moor Park,240,165,metropolitan
Northwood,270,187.5,metropolitan
Northwood Hills,300,210,metropolitan
Pinner,330,232.5,metropolitan
North Harrow,360,255,metropolitan
West Harrow,380,294,metropolitan
Harrow on the Hill,440,294,metropolitan
Preston Road,590,294,metropolitan
Edgware,706,124.5,northern
Burnt Oak,738,148.5,northern
Colindale,768,171,northern
Hendon Central,798,193.5,northern
Brent Cross,828,216,northern
Golders Green,858,238.5,northern
Hampstead,888,261,northern
Belsize Park,1010,281,northern
Chalk Farm,1090,281,northern
Mill Hill East,913,90,northern
High Barnet,854,4.5,northern
Totteridge And Whetstone,884,27,northern
Woodside Park,914,49.5,northern
West Finchley,944,72,northern
Finchley Central,984,102,northern
East Finchley,1014,124.5,northern
Highgate,1044,147,northern
Tufnell Park,1108,195,northern
Mornington Crescent,1202,332,northern
Goodge Street,1163,450,northern
Angel,1389,469.5,northern
Old Street,1389,469.5,northern
Borough,1479,730,northern
Kennington,1384.5,856,northern
Oval,1336.5,892,northern
Clapham Common,1210.5,986.5,northern
Clapham South,1180.5,1009,northern
Balham,1150.5,1031.5,northern
Tooting Bec,1120.5,1054,northern
Tooting Broadway,1090.5,1076.5,northern
Colliers Wood,1060.5,1099,northern
South Wimbledon,1030.5,1121.5,northern
Morden,1000.5,1144,northern
Nine Elms,1204.5,901,northern
Battersea Power Station,1134,927.25,northern
South Harrow,384,370,piccadilly
Sudbury Hill,384,430,piccadilly
Sudbury Town,384,490,piccadilly
Alperton,384,550,piccadilly
North Ealing,384,670,piccadilly
Heathrow 23,93,956.5,piccadilly
Heathrow 5 Crossrail,30,966.5,crossrail
Heathrow 5 Piccadilly,30,956.5,piccadilly
Hatton Cross,160,947.5,piccadilly
Hounslow West,190,925,piccadilly
Hounslow Central,220,902.5,piccadilly
Hounslow East,250,880,piccadilly
Osterley,280,857.5,piccadilly
Boston Manor,310,835,piccadilly
Northfields,340,812.5,piccadilly
South Ealing,370,790,piccadilly
Turnham Green piccadilly,530,823,piccadilly
Barons Court piccadilly,705,854.4,piccadilly
Knightsbridge,1114.6,766,piccadilly
Hyde Park Corner,1114.6,726,piccadilly
Covent Garden,1250,549.25,piccadilly
Russell Square,1290,450,piccadilly
Caledonian Road,1306,260,piccadilly
Holloway Road,1336,237.5,piccadilly
Arsenal,1366,215,piccadilly
Manor House,1382.5,159,piccadilly
Turnpike Lane,1335,74,piccadilly
Wood Green,1305,51.5,piccadilly
Bounds Green,1275,29,piccadilly
Arnos Grove,1245,6.5,piccadilly
Southgate,1215,-16,piccadilly
Oakwood,1185,-38.5,piccadilly
Cockfosters,1155,-60,piccadilly
Uxbridge piccadilly,20,299,piccadilly
Uxbridge metropolitan,20,294,metropolitan
Hillingdon metropolitan,60,294,metropolitan
Hillingdon piccadilly,60,299,piccadilly
Ruislip piccadilly,180,299,piccadilly
Ruislip metropolitan,180,294,metropolitan
Ruislip Manor metropolitan,220,294,metropolitan
Ruislip Manor piccadilly,220,299,piccadilly
Eastcote piccadilly,260,299,piccadilly
Eastcote metropolitan,260,294,metropolitan
Tottenham Hale,1530,113,#intnr
Pimlico,1206,826,victoria
Vauxhall,1236,866,victoria
Brixton,1305,958,victoria
Limehouse,1747,585,#intnr
Westferry,1800,585,dlr
Blackwall,1940,585,dlr
East India,1980,585,dlr
Royal Victoria,2135,585,dlr
Prince Regent,2225,585,dlr
Royal Albert,2270,585,dlr
Beckton Park,2315,585,dlr
Cyprus,2360,585,dlr
Gallions Reach,2390,543,dlr
Beckton,2390,513,dlr
Pudding Mill Lane,1940,368,dlr
Devons Road,1900,488,dlr
Langdon Park,1900,514,dlr
All Saints,1900,540,dlr
West India Quay,1880,608.5,dlr
South Quay,1880,690,dlr
Crossharbour,1880,720,dlr
Mudchute,1880,750,dlr
Island Gardens,1880,780,dlr
Cutty Sark for Maritime Greenwich,1880,810,dlr
Greenwich,1880,840,dlr
Deptford Bridge,1880,870,dlr
Elverson Road,1880,900,dlr
Lewisham,1880,930,dlr
Stratford International,1950,272,dlr
Stratford High Street,2017.5,362,dlr
Abbey Road,2036,402,dlr
Star Lane,2036,510,dlr
West Silvertown,2092,605,dlr
Pontoon Dock,2132,635,dlr
London City Airport,2172,665,dlr
King George V,2212,695,dlr
Watford Junction,531.5,20,#intnr
Watford High Street,531.5,50,#int
Bushey,534,95,#intnr
Carpenders Park,534,131,og
Hatch End,534,167,og
Headstone Lane,534,203,og
Kilburn High Road,862,501.5,og
South Hampstead,924,455,og
Imperial Wharf,910,981,og
Clapham Junction,1098.333,981,#intnr
Kew Gardens district,401,875.4,district
Kew Gardens overground,398,871.4,og
South Acton,510.5,786.5,og
Acton Central,540.5,764,og
Kensal Rise,748.5,427,og
Brondesbury Park,782.5,401.5,og
Hampstead Heath,979.5,270,og
Gospel Oak,1030,221,#int
Caledonian Road and Barnsbury,1315,295,og
Canonbury,1505,300,#int
Homerton,1760,295,og
Hackney Wick,1840,295,og
Crouch Hill,1206,138,og
Harringay Green Lanes,1326,138,#intnr
Leyton Midland Road,1860,138,og
Renwick Road,2280,433,ogx
Barking Riverside,2390,433,ogx
Haggerston,1588.625,369,og
Hoxton,1606.625,393,og
Shoreditch High Street,1624.625,417,og
Wapping,1700,622.5,og
Rotherhithe,1700,652.5,og
Surrey Quays,1700,730,og
New Bermondsey,1644,827,ogx
Queens Road Peckham,1584,872,#intnr
Peckham Rye,1524,917,#intnr
Denmark Hill,1440,946,#intnr
Wandsworth Road,1180,946,og
Battersea Park,1110,946,#intnr
New Cross,1744.67,818.5,#intnr
New Cross Gate,1700,852,#intnr
Brockley,1700,887,og
Honor Oak Park,1684,919,og
Forest Hill,1644,949,og
Sydenham,1604,979,#intnr
Crystal Palace,1514,1009,#intnr
Penge West,1524,1039,og
Anerley,1484,1069,og
Norwood Junction,1444,1099,#intnr
West Croydon,1404,1129,#intnr
Enfield Town,1403,-61.5,og
Bush Hill Park,1403,-31.5,og
Cheshunt,1509,-91,#intnr
Theobalds Grove,1479,-68.5,og
Turkey Street,1449,-46,og
Southbury,1419,-23.5,og
Edmonton Green,1403,8.5,#intnr
Silver Street,1403,31,og
White Hart Lane,1403,53.5,og
Bruce Grove,1403,76,og
Stamford Hill,1527,189,og
Stoke Newington,1557,211.5,og
Rectory Road,1587,234,og
London Fields,1635,355,og
Cambridge Heath,1635,390,og
Bethnal Green overground,1615,478.25,og
Chingford,1682,23,og
Highams Park,1682,53,og
Wood Street,1682,83,og
St James Street,1682,170,og
Clapton,1682,210,og
Emerson Park,2330.25,149,og
South Kenton bakerloo,547,357,bakerloo
North Wembley bakerloo,575,378,bakerloo
Stonebridge Park bakerloo,631,420,bakerloo
Harlesden bakerloo,659,441,bakerloo
Kensal Green bakerloo,725,490.5,bakerloo
South Kenton overground,550,353,og
North Wembley overground,578,374,og
Stonebridge Park overground,634,416,og
Harlesden overground,662,437,og
Kensal Green overground,728,486.5,og
Heathrow Central,105,936.5,tflrail
Reading,0,480,#intnrx
Twyford,0,510,#intnrx
Maidenhead,0,540,#intnrx
Taplow,0,570,crossrailx
Burnham,0,600,crossrailx
Slough,0,630,#intnrx
Langley,0,660,crossrailx
Iver,36,723.9,crossrailx
West Drayton,86,723.9,crossrailx
Hayes and Harlington,160,723.9,#intnr
Southall,200,723.9,tflrail
Hanwell,240,723.9,tflrail
West Ealing,294.667,723.9,#intnr
Acton Main Line,460,723.9,tflrail
Abbey Wood,2353.33,704,#intnr
Maryland,2013,301,tflrail
Ilford,2137,208,tflrail
Seven Kings,2167,185.5,tflrail
Goodmayes,2197,163,tflrail
Chadwell Heath,2227,140.5,tflrail
Gidea Park,2287,95.5,tflrail
Harold Wood,2317,73,tflrail
Brentwood,2347,50.5,tflrail
Shenfield,2377,28,#intnr
South Greenford,224,554,greenfordx
Castle Bar Park,224,594,greenfordx
Drayton Green,224,634,greenfordx
